sen	wrong_sen	lemma	token_form	swap_direction	npi_to_neg_distance	sent_len	env	multiple_npis	npi_count	sent_id	quantity_level	replacement
The hijackers were obviously al-Qaeda, and no operational links between al-Qaeda and Iraq had ever been found).	The hijackers were obviously al-Qaeda, and operational links between al-Qaeda and Iraq had ever been found).	ever	ever	unknown	10	17	n_series_neg	False	1	weblog-juancole.com_juancole_20040722101300_ENG_20040722_101300-0016	None	None
I understand you may not have credit approval yet so perhaps we can leave the appropriate sections blank in the meantime.	I understand you may have credit approval yet so perhaps we can leave the appropriate sections blank in the meantime.	yet	yet	unknown	4	21	neg	False	1	email-enronsent36_01-0033	None	None
Has that gone anywhere or are the other possibilities you had better?	That has gone anywhere or are the other possibilities you had better.	anywhere	anywhere	unknown	1	12	aux_inversion	False	1	email-enronsent21_02-0016	None	None
Has anyone ever worked for steiner leisure cruises?	Anyone has ever worked for steiner leisure cruises.	ever	ever	unknown	1	8	aux_inversion	False	1	answers-20111107214231AA68BMD_ans-0001	None	None
the attitude of some staff is terrible, did not solve anything only say i can do nothing.	the attitude of some staff is terrible, did solve anything only say i can do nothing.	anything	anything	unknown	2	17	neg	False	1	reviews-122564-0004	None	None
It was all sorted with no hassle at all and I'm really grateful - they were fab.	It was all sorted with hassle at all and I'm really grateful - they were fab.	at_all	at	unknown	-100	17	n_series_neg	False	1	reviews-163250-0003	None	None
So now I do not bother with them at all.	So now I do bother with them at all.	at_all	at	unknown	-100	10	neg	False	1	answers-20111107201700AAKdymq_ans-0008	None	None
Have you sent this to congress yet?	You have sent this to congress yet.	yet	yet	unknown	4	7	aux_inversion	False	1	weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0054	None	None
This has not yet penetrated the thinking of the Western World.	This has yet penetrated the thinking of the Western World.	yet	yet	unknown	1	11	neg	False	1	weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0062	None	None
No Moslem preacher has ever blown himself up.	Moslem preacher has ever blown himself up.	ever	ever	unknown	4	8	n_series_neg	False	1	weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0076	None	None
No son of an Arab politician or religious leader has ever blown himself up.	Son of an Arab politician or religious leader has ever blown himself up.	ever	ever	unknown	10	14	n_series_neg	False	1	weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0077	None	None
Have you had an opportunity to consider the invitation yet?	You have had an opportunity to consider the invitation yet.	yet	yet	unknown	7	10	aux_inversion	False	1	email-enronsent19_01-0033	None	None
So I question whether or not you want to publish info about fundamental standards that we can not yet report against.	So I question whether or not you want to publish info about fundamental standards that we can yet report against.	yet	yet	unknown	1	21	neg	False	1	email-enronsent01_02-0038	None	None
Because a number of the declarations and signature pages are not yet available electronically, they have not been included with this note.?	Because a number of the declarations and signature pages are yet available electronically, they have not been included with this note.?	yet	yet	unknown	1	22	neg	False	1	email-enronsent06_01-0062	None	None
Additional cost will be incurred for the remainder of this year, that I have not been able to review yet.	Additional cost will be incurred for the remainder of this year, that I have been able to review yet.	yet	yet	unknown	5	20	neg	False	1	email-enronsent10_01-0017	None	None
Many people at Enron already have this type of chair, but we rarely, if ever, have a surplus because they are so popular.	Many people at Enron already have this type of chair, but we often, if ever, have a surplus because they are so popular.	ever	ever	unknown	3	23	DE_licensor	False	1	email-enronsent10_01-0070	None	None
They do not have anything from us in writing confirming the agreed changes.	They do have anything from us in writing confirming the agreed changes.	anything	anything	unknown	2	13	neg	False	1	email-enronsent35_01-0098	None	None
I'll not say anything.	I'll say anything.	anything	anything	unknown	2	4	neg	False	1	email-enronsent37_01-0022	None	None
Are you back in the office yet?	You are back in the office yet.	yet	yet	unknown	4	7	aux_inversion	False	1	email-enronsent43_01-0042	None	None
Janell and Dennis will not be able to go anywhere in 2002 due to Janell's broken leg.	Janell and Dennis will be able to go anywhere in 2002 due to Janell's broken leg.	anywhere	anywhere	unknown	5	17	neg	False	1	email-enronsent43_01-0047	None	None
This is something that his ego trip of lucky bad musician could not face anymore....	This is something that his ego trip of lucky bad musician could face anymore....	anymore	anymore	unknown	2	15	neg	False	1	newsgroup-groups.google.com_alt.animals_434fe80fb3577e8e_ENG_20031011_200300-0033	None	None
THERE IS NO SUCH THING any more, anywhere, it's an online dating scam.	THERE IS SUCH THING any more, anywhere, it's an online dating scam.	anywhere	anywhere	unknown	6	13	n_series_neg	False	1	answers-20111108101024AANYJpw_ans-0008	None	None
Just pray that you have not ever given this criminal enough information for your identity to be stolen - your full name, birthdate, home address, etc or that you were not conned into sending money.	Just pray that you have ever given this criminal enough information for your identity to be stolen - your full name, birthdate, home address, etc or that you were not conned into sending money.	ever	ever	unknown	1	35	neg	False	1	answers-20111108101024AANYJpw_ans-0015	None	None
It is the real thing - I have been practicing Pilates for over 7 years and would not go anywhere else.	It is the real thing - I have been practicing Pilates for over 7 years and would go anywhere else.	anywhere	anywhere	unknown	2	21	neg	False	1	reviews-248124-0002	None	None
The sauce was dry and the enchiladas did not taste good.at all.	The sauce was dry and the enchiladas did taste good.at all.	at_all	at	unknown	-100	12	neg	False	1	reviews-150192-0003	None	None
DO NOT EVER GO HERE.	DO EVER GO HERE.	ever	EVER	unknown	1	5	neg	False	1	reviews-324337-0005	None	None
They have absolutely no communication skills whatsoever.	They have absolutely communication skills whatsoever.	whatsoever	whatsoever	unknown	3	7	n_series_neg	False	1	reviews-217359-0002	None	None
Beware of the nail program you are not taught to use a nail drill AT ALL you learn the old fashioned way of doing nails you will not be able to do well in a salon!!!	Beware of the nail program you are taught to use a nail drill AT ALL you learn the old fashioned way of doing nails you will not be able to do well in a salon!!!	at_all	AT	unknown	-100	36	neg	False	1	reviews-247226-0009	None	None
I would not recommend this shop for anything, not even something as simple as an oil change.	I would recommend this shop for anything, not even something as simple as an oil change.	anything	anything	unknown	5	17	neg	False	1	reviews-091704-0008	None	None
This little drip offered no apologies whatsoever, and even refused to give me the name of the manager until I pressed him for it 3 times.	This little drip offered apologies whatsoever, and even refused to give me the name of the manager until I pressed him for it 3 times.	whatsoever	whatsoever	unknown	2	26	n_series_neg	False	1	reviews-020992-0010	None	None
At no time during the conversation did the words, "I'm sorry" ever come out of his mouth.	At time during the conversation did the words, "I'm sorry" ever come out of his mouth.	ever	ever	unknown	14	17	n_series_neg	False	1	reviews-086839-0013	None	None
Shot comes on through, not able to get it done as of yet.	Shot comes on through, able to get it done as of yet.	yet	yet	unknown	8	13	neg	False	1	GENTLE_esports_fortnite-27	None	None
I'm not playing anymore.	I'm playing anymore.	anymore	anymore	unknown	2	4	neg	False	1	GENTLE_threat_kelly-24	None	None
Moreover, one study found no changes at all in performance, across proficiency levels, after either 2 or 4 years of limited exposure [22].	Moreover, one study found changes at all in performance, across proficiency levels, after either 2 or 4 years of limited exposure [22].	at_all	at	unknown	12	23	n_series_neg	False	1	GUM_academic_exposure-22	None	None
You're not going anywhere for a while.	You're going anywhere for a while.	anywhere	anywhere	unknown	2	7	neg	False	1	GUM_conversation_grounded-66	None	None
But yeah, that's up there on my YouTube channel, not that anybody ever goes on it.	But yeah, that's up there on my YouTube channel, that anybody ever goes on it.	ever	ever	unknown	3	16	neg	False	1	GUM_podcast_wrestling-65	None	None
So the first thing that I recommend you do in Portland is not actually in Portland at all.	So the first thing that I recommend you do in Portland is actually in Portland at all.	at_all	at	unknown	-100	18	neg	False	1	GUM_vlog_portland-8	None	None
She has never seen them, knew nothing of their existence and does not care to see them now or ever.	She has never seen them, knew nothing of their existence and does care to see them now or ever.	ever	ever	unknown	7	20	neg	False	1	GUM_letter_attorney-41	None	None
It has a long history in scholarship (Baron & Beresford 2014), but many key aspects of its production and significance have not yet been fully understood.	It has a long history in scholarship (Baron & Beresford 2014), but many key aspects of its production and significance have yet been fully understood.	yet	yet	unknown	1	26	neg	False	1	GUM_academic_art-26	None	None
It is possible that these two children understood the task and really did believe that the puppet did not produce any poor descriptions, and in this regard, are not yet adult-like in their SI interpretations.	It is possible that these two children understood the task and really did believe that the puppet did not produce any poor descriptions, and in this regard, are yet adult-like in their SI interpretations.	yet	yet	unknown	1	35	neg	False	1	GUM_academic_implicature-21	None	None
However, a systematic metascience on replication research has not yet been established in the field of L2 research, leaving a poor understanding of the actual number and nature of replication studies that have been published.	However, a systematic metascience on replication research has yet been established in the field of L2 research, leaving a poor understanding of the actual number and nature of replication studies that have been published.	yet	yet	unknown	1	35	neg	False	1	GUM_academic_replication-17	None	None
Nothing was ever at 90 degrees.	Something was ever at 90 degrees.	ever	ever	unknown	2	6	n_series_neg	False	1	GUM_bio_hadid-22	None	None
Because, there's no hole in the counter at all.	Because, there's hole in the counter at all.	at_all	at	unknown	-100	9	n_series_neg	False	1	GUM_conversation_atoms-143	None	None
And that is not necessary for the court to do at all.	And that is necessary for the court to do at all.	at_all	at	unknown	-100	12	neg	False	1	GUM_court_equality-45	None	None
The district court persisted in that order, despite T. W.'s objection and her unequivocal request to not use Zoom at all.	The district court persisted in that order, despite T. W.'s objection and her unequivocal request to use Zoom at all.	at_all	at	unknown	-100	21	neg	False	1	GUM_court_mental-27	None	None
5321 140 piggybacks 119 on a person's presence by Zoom, making it subject to the waiver provisions of 119 and providing in subsection five, the respondent can choose not to appear by Zoom at all.	5321 140 piggybacks 119 on a person's presence by Zoom, making it subject to the waiver provisions of 119 and providing in subsection five, the respondent can choose to appear by Zoom at all.	at_all	at	unknown	-100	35	neg	False	1	GUM_court_mental-33	None	None
So I mean no commercial use whatsoever.	So I mean commercial use whatsoever.	whatsoever	whatsoever	unknown	3	7	n_series_neg	False	1	GUM_court_mountain-67	None	None
Has Mr. Claus left yet?	Mr. Claus has left yet.	yet	yet	unknown	1	5	aux_inversion	False	1	GUM_fiction_claus-63	None	None
He was surprised to discover that the small kitchen contained a central island, and had no space for the table in his memory at all.	He was surprised to discover that the small kitchen contained a central island, and had space for the table in his memory at all.	at_all	at	unknown	-100	25	n_series_neg	False	1	GUM_fiction_error-22	None	None
This was a battle that could not be won; not now, not ever.	This was a battle that could be won; not now, not ever.	ever	ever	unknown	8	13	neg	False	1	GUM_fiction_honour-48	None	None
No question would reveal anything independently of all the questions together --	Question would reveal anything independently of all the questions together --	anything	anything	unknown	4	12	n_series_neg	False	1	GUM_interview_dungeon-77	None	None
Hugh McGuire with some books that have not yet been acoustically liberated.	Hugh McGuire with some books that have yet been acoustically liberated.	yet	yet	unknown	1	12	neg	False	1	GUM_interview_mcguire-10	None	None
Seventeen years ago, this would not have been possible at all," said Ambassador Mohib.	Seventeen years ago, this would have been possible at all," said Ambassador Mohib.	at_all	at	unknown	-100	14	neg	False	1	GUM_news_afghan-32	None	None
As of 15:11 GMT the site was accessible again, but only loads at relatively slow speeds, and by the end of the day Saturday the site was not loading at all.	As of 15:11 GMT the site was accessible again, but only loads at relatively slow speeds, and by the end of the day Saturday the site was loading at all.	at_all	at	unknown	-100	31	neg	False	1	GUM_news_hackers-19	None	None
Posts on the message board for the Scientology-critic site Operation Clambake from Friday theorized that a denial-of-service attack had occurred, and wrote that as of Friday the Scientology.org site was either not loading at all, or loading very slowly.	Posts on the message board for the Scientology-critic site Operation Clambake from Friday theorized that a denial-of-service attack had occurred, and wrote that as of Friday the Scientology.org site was either loading at all, or loading very slowly.	at_all	at	unknown	1	39	neg	False	1	GUM_news_hackers-20	None	None
University collections across the United States also include Polaroids of "unknowns" who have not yet had their fifteen minutes of fame.	University collections across the United States also include Polaroids of "unknowns" who have yet had their fifteen minutes of fame.	yet	yet	unknown	1	21	neg	False	1	GUM_news_warhol-43	None	None
Has he ever exhibited any control whatsoever?	He has ever exhibited any control whatsoever.	ever	ever	unknown	1	7	aux_inversion	True	2	GUM_podcast_addiction-21	None	None
So, for instance, in obsessive compulsive disorder, one of the treatments that's quite effective would be high dose SSRIs or serotonin reuptake inhibitors, whereas those have no effect at all in classical addiction.	So, for instance, in obsessive compulsive disorder, one of the treatments that's quite effective would be high dose SSRIs or serotonin reuptake inhibitors, whereas those have effect at all in classical addiction.	at_all	at	unknown	-100	33	n_series_neg	False	1	GUM_podcast_addiction-91	None	None
At this time of transition and dysfunction in global power relations, there is a new risk looming on the horizon that may not yet be large but it is real.	At this time of transition and dysfunction in global power relations, there is a new risk looming on the horizon that may yet be large but it is real.	yet	yet	unknown	1	30	neg	False	1	GUM_speech_humanitarian-51	None	None
In this example, while you may not have yet achieved complete success, you will have learned what you need to do next.	In this example, while you may have yet achieved complete success, you will have learned what you need to do next.	yet	yet	unknown	2	22	neg	False	1	GUM_textbook_grit-47	None	None
I'm not really doing anything this week other than like hunkering down and doing as much work as possible.	I'm really doing anything this week other than like hunkering down and doing as much work as possible.	anything	anything	unknown	3	19	neg	False	1	GUM_vlog_appearance-50	None	None
She's not here yet.	She's here yet.	yet	yet	unknown	2	4	neg	False	1	GUM_vlog_exams-6	None	None
So these have been awesome for hiking and I highly recommend them, especially if you're looking for like a lighter shoe that's not heavy like hiking boots or anything.	So these have been awesome for hiking and I highly recommend them, especially if you're looking for like a lighter shoe that's heavy like hiking boots or anything.	anything	anything	unknown	6	29	neg	False	1	GUM_vlog_hiking-14	None	None
Socotra Island is very rich and is home to many rare spectacular species of reefs, fish, birds, plants, and trees which are not found anywhere else in the world.	Socotra Island is very rich and is home to many rare spectacular species of reefs, fish, birds, plants, and trees which are found anywhere else in the world.	anywhere	anywhere	unknown	2	29	neg	False	1	GUM_voyage_socotra-46	None	None
The area has a milder climate than the country's average, and because of this, is home to flora and fauna not seen anywhere else in Denmark.	The area has a milder climate than the country's average, and because of this, is home to flora and fauna seen anywhere else in Denmark.	anywhere	anywhere	unknown	2	26	neg	False	1	GUM_voyage_sydfynske-6	None	None
Women should avoid offering anything to a monk with their hands.	Women should enjoy offering anything to a monk with their hands.	anything	anything	unknown	2	11	neg_predicate	False	1	GUM_voyage_thailand-45	None	None
You can even make the whole language not based on the Latin Alphabet at all like Chinese!	You can even make the whole language based on the Latin Alphabet at all like Chinese!	at_all	at	unknown	-100	17	neg	False	1	GUM_whow_languages-26	None	None
Don't pack one box full of books or paperwork - you might not be able to carry it at all.	Don't pack one box full of books or paperwork - you might be able to carry it at all.	at_all	at	unknown	-100	20	neg	False	1	GUM_whow_packing-34	None	None
If both your primary and reserve chutes have malfunctioned, signal immediately to a fellow jumper who has not yet deployed their chute, waving your arms and signalling that your own is not functional.	If both your primary and reserve chutes have malfunctioned, signal immediately to a fellow jumper who has yet deployed their chute, waving your arms and signalling that your own is not functional.	yet	yet	unknown	1	33	neg	False	1	GUM_whow_parachute-8	None	None
As long as this Agreement is not yet concluded, insofar as it applies provisionally.	As long as this Agreement is yet concluded, insofar as it applies provisionally.	yet	yet	unknown	1	14	neg	False	1	en_partut-ud-1012	None	None
Nothing good would ever happen – and certainly not for the US.	Something good would ever happen – and certainly not for the US.	ever	ever	unknown	3	12	n_series_neg	False	1	en_partut-ud-1403	None	None
You did not call me either.	You did call me either.	either	either	unknown	3	6	neg	False	1	en_partut-ud-159	None	None
But some of them were not whale meat at all.	But some of them were whale meat at all.	at_all	at	unknown	-100	10	neg	False	1	en_partut-ud-860	None	None
No Russian-speaking refugees from eastern Ukraine or Crimea have fled into Russia, and no Russian-speaker has sought political asylum anywhere else outside the country.	No Russian-speaking refugees from eastern Ukraine or Crimea have fled into Russia, and Russian-speaker has sought political asylum anywhere else outside the country.	anywhere	anywhere	unknown	8	24	n_series_neg	False	1	en_partut-ud-1480	None	None
No written contemporary description of Shakespeare's physical appearance survives, and no evidence suggests that he ever commissioned a portrait, so the Droeshout engraving, which Ben Jonson approved of as a good likeness, and his Stratford monument provide the best evidence of his appearance.	No written contemporary description of Shakespeare's physical appearance survives, and evidence suggests that he ever commissioned a portrait, so the Droeshout engraving, which Ben Jonson approved of as a good likeness, and his Stratford monument provide the best evidence of his appearance.	ever	ever	unknown	5	43	n_series_neg	False	1	en_partut-ud-2084	None	None
